sample_id,expected_outcome,predicted_label,evidence_strengths,carrier_types,chain_count,complete_chain_recovered,confirmed_violation_chain
PB-444,benign_lookalike,benign,,,0,False,False
PB-445,benign_lookalike,benign,,,0,False,False
PB-446,benign_lookalike,benign,,,0,False,False
PB-447,benign_lookalike,benign,,,0,False,False
PB-448,benign_lookalike,benign,,,0,False,False
PB-449,benign_lookalike,benign,,,0,False,False
PB-450,benign_lookalike,benign,,,0,False,False
PB-451,benign_lookalike,benign,,,0,False,False
PB-452,benign_lookalike,benign,,,0,False,False
PB-453,benign_lookalike,benign,,,0,False,False
PB-454,benign_lookalike,benign,,,0,False,False
PB-455,benign_lookalike,benign,,,0,False,False
PB-456,benign_lookalike,benign,,,0,False,False
PB-457,benign_lookalike,benign,,,0,False,False
PB-458,benign_lookalike,benign,,,0,False,False
PB-459,benign_lookalike,benign,,,0,False,False
PB-460,benign_lookalike,benign,,,0,False,False
PB-461,benign_lookalike,benign,,,0,False,False
PB-462,benign_lookalike,benign,,,0,False,False
PB-463,benign_lookalike,benign,,,0,False,False
PB-464,benign_lookalike,benign,,,0,False,False
PB-465,benign_lookalike,benign,,,0,False,False
PB-466,benign_lookalike,benign,,,0,False,False
PB-467,benign_lookalike,benign,,,0,False,False
PB-468,benign_lookalike,benign,,,0,False,False
PB-469,benign_lookalike,benign,,,0,False,False
PB-470,benign_lookalike,benign,,,0,False,False
PB-471,benign_lookalike,benign,,,0,False,False
PB-472,benign_lookalike,benign,,,0,False,False
PB-473,benign_lookalike,benign,,,0,False,False
PB-474,benign_lookalike,benign,,,0,False,False
PB-475,benign_lookalike,benign,,,0,False,False
PB-476,benign_lookalike,benign,,,0,False,False
PB-477,benign_lookalike,benign,,,0,False,False
PB-478,benign_lookalike,benign,,,0,False,False
PB-479,benign_lookalike,benign,,,0,False,False
PB-480,benign_lookalike,benign,,,0,False,False
PB-481,benign_lookalike,benign,,,0,False,False
PB-482,benign_lookalike,benign,,,0,False,False
PB-483,benign_lookalike,benign,,,0,False,False
PB-484,benign_lookalike,benign,,,0,False,False
PB-485,benign_lookalike,benign,,,0,False,False
PB-486,benign_lookalike,benign,,,0,False,False
PB-487,benign_lookalike,benign,,,0,False,False
PB-488,benign_lookalike,benign,,,0,False,False
PB-489,benign_lookalike,benign,,,0,False,False
PB-490,benign_lookalike,benign,,,0,False,False
PB-491,benign_lookalike,benign,,,0,False,False
PB-492,benign_lookalike,benign,,,0,False,False
PB-493,benign_lookalike,benign,,,0,False,False
PB-494,benign_lookalike,benign,,,0,False,False
PB-495,benign_lookalike,benign,,,0,False,False
PB-496,benign_lookalike,benign,,,0,False,False
PB-497,benign_lookalike,benign,,,0,False,False
PB-498,benign_lookalike,benign,,,0,False,False
PB-499,benign_lookalike,benign,,,0,False,False
PB-500,benign_lookalike,benign,,,0,False,False
PB-501,benign_lookalike,benign,,,0,False,False
PB-502,benign_lookalike,benign,,,0,False,False
PB-503,benign_lookalike,benign,,,0,False,False
PB-504,benign_lookalike,benign,,,0,False,False
PB-505,benign_lookalike,benign,,,0,False,False
PB-506,benign_lookalike,benign,,,0,False,False
PB-507,benign_lookalike,benign,,,0,False,False
PB-508,benign_lookalike,benign,,,0,False,False
PB-509,benign_lookalike,benign,,,0,False,False
PB-510,benign_lookalike,benign,,,0,False,False
PB-511,benign_lookalike,benign,,,0,False,False
PB-512,benign_lookalike,benign,,,0,False,False
PB-513,benign_lookalike,benign,,,0,False,False
PB-514,benign_lookalike,benign,,,0,False,False
PB-515,benign_lookalike,benign,,,0,False,False
PB-516,benign_lookalike,benign,,,0,False,False
PB-517,benign_lookalike,benign,,,0,False,False
PB-518,benign_lookalike,benign,,,0,False,False
PB-519,benign_lookalike,benign,,,0,False,False
PB-520,benign_lookalike,benign,,,0,False,False
PB-521,trusted_allowed,benign,,,0,False,False
PB-522,benign_lookalike,benign,,,0,False,False
PB-523,benign_lookalike,benign,,,0,False,False
PB-524,benign_lookalike,benign,,,0,False,False
PB-525,benign_lookalike,benign,,,0,False,False
PB-526,benign_lookalike,benign,,,0,False,False
PB-527,benign_lookalike,benign,,,0,False,False
PB-528,benign_lookalike,benign,,,0,False,False
PB-529,benign_lookalike,benign,,,0,False,False
PB-530,benign_lookalike,benign,,,0,False,False
PB-531,benign_lookalike,benign,,,0,False,False
PB-532,benign_lookalike,benign,,,0,False,False
PB-533,benign_lookalike,benign,,,0,False,False
PB-534,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-535,benign_lookalike,benign,,,0,False,False
PB-536,benign_lookalike,benign,,,0,False,False
PB-537,benign_lookalike,benign,,,0,False,False
PB-538,benign_lookalike,benign,,,0,False,False
PB-539,benign_lookalike,benign,,,0,False,False
PB-540,benign_lookalike,benign,,,0,False,False
PB-541,trusted_allowed,benign,,,0,False,False
PB-542,trusted_allowed,benign,,,0,False,False
PB-543,trusted_allowed,benign,,,0,False,False
PB-544,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-545,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-546,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-547,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-548,trusted_allowed,benign,,,0,False,False
PB-549,benign_lookalike,benign,,,0,False,False
PB-550,benign_lookalike,benign,,,0,False,False
PB-551,benign_lookalike,benign,,,0,False,False
PB-552,benign_lookalike,benign,,,0,False,False
PB-553,benign_lookalike,benign,,,0,False,False
PB-554,trusted_allowed,benign,,,0,False,False
PB-555,trusted_allowed,benign,,,0,False,False
PB-556,trusted_allowed,benign,,,0,False,False
PB-557,trusted_allowed,benign,,,0,False,False
PB-558,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-559,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-560,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-561,trusted_allowed,benign,,,0,False,False
PB-562,benign_lookalike,benign,,,0,False,False
PB-563,benign_lookalike,benign,,,0,False,False
PB-564,benign_lookalike,benign,,,0,False,False
PB-565,benign_lookalike,benign,,,0,False,False
PB-566,trusted_allowed,benign,,,0,False,False
PB-567,trusted_allowed,benign,,,0,False,False
PB-568,trusted_allowed,benign,,,0,False,False
PB-569,trusted_allowed,benign,,,0,False,False
PB-570,trusted_allowed,benign,,,0,False,False
PB-571,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-572,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-573,trusted_allowed,benign,,,0,False,False
PB-574,benign_lookalike,benign,,,0,False,False
PB-575,benign_lookalike,benign,,,0,False,False
PB-576,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-577,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-578,benign_lookalike,benign,,,0,False,False
PB-579,trusted_allowed,benign,,,0,False,False
PB-580,trusted_allowed,benign,,,0,False,False
PB-581,trusted_allowed,benign,,,0,False,False
PB-582,trusted_allowed,benign,,,0,False,False
PB-583,trusted_allowed,benign,,,0,False,False
PB-584,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-585,trusted_allowed,benign,,,0,False,False
PB-586,trusted_allowed,benign,,,0,False,False
PB-587,benign_lookalike,benign,,,0,False,False
PB-588,benign_lookalike,benign,,,0,False,False
PB-589,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-590,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-591,benign_lookalike,benign,,,0,False,False
PB-592,trusted_allowed,benign,,,0,False,False
PB-593,trusted_allowed,benign,,,0,False,False
PB-594,trusted_allowed,benign,,,0,False,False
PB-595,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-596,trusted_allowed,benign,,,0,False,False
PB-597,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-598,review_coverage,benign,,,0,False,False
PB-599,trusted_allowed,benign,,,0,False,False
PB-600,benign_lookalike,benign,,,0,False,False
PB-601,benign_lookalike,benign,,,0,False,False
PB-602,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-603,trusted_allowed,benign,,,0,False,False
PB-604,benign_lookalike,benign,,,0,False,False
PB-605,trusted_allowed,benign,,,0,False,False
PB-606,trusted_allowed,benign,,,0,False,False
PB-607,trusted_allowed,benign,,,0,False,False
PB-608,trusted_allowed,benign,,,0,False,False
PB-609,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-610,trusted_allowed,benign,,,0,False,False
PB-611,review_coverage,benign,,,0,False,False
PB-612,trusted_allowed,benign,,,0,False,False
PB-613,benign_lookalike,benign,,,0,False,False
PB-614,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-615,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-616,trusted_allowed,benign,,,0,False,False
PB-617,trusted_allowed,benign,,,0,False,False
PB-618,trusted_allowed,benign,,,0,False,False
PB-619,trusted_allowed,benign,,,0,False,False
PB-620,trusted_allowed,benign,,,0,False,False
PB-621,trusted_allowed,benign,,,0,False,False
PB-622,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-623,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-624,review_coverage,benign,,,0,False,False
PB-625,trusted_allowed,benign,,,0,False,False
PB-626,benign_lookalike,benign,,,0,False,False
PB-627,trusted_allowed,benign,,,0,False,False
PB-628,trusted_allowed,benign,,,0,False,False
PB-629,trusted_allowed,benign,,,0,False,False
PB-630,trusted_allowed,benign,,,0,False,False
PB-631,trusted_allowed,benign,,,0,False,False
PB-632,trusted_allowed,benign,,,0,False,False
PB-633,trusted_allowed,benign,,,0,False,False
PB-634,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-635,trusted_allowed,benign,,,0,False,False
PB-636,review_coverage,benign,,,0,False,False
PB-637,trusted_allowed,benign,,,0,False,False
PB-638,benign_lookalike,benign,,,0,False,False
PB-639,trusted_allowed,benign,,,0,False,False
PB-640,trusted_allowed,benign,,,0,False,False
PB-641,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-642,trusted_allowed,benign,,,0,False,False
PB-643,review_coverage,benign,,,0,False,False
PB-644,review_coverage,benign,,,0,False,False
PB-645,review_coverage,benign,,,0,False,False
PB-646,review_coverage,benign,,,0,False,False
PB-647,review_coverage,benign,,,0,False,False
PB-648,review_coverage,benign,,,0,False,False
PB-649,review_coverage,benign,,,0,False,False
PB-650,benign_lookalike,benign,,,0,False,False
PB-651,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-652,trusted_allowed,benign,,,0,False,False
PB-653,trusted_allowed,benign,,,0,False,False
PB-654,review_coverage,benign,,,0,False,False
PB-655,review_coverage,benign,,,0,False,False
PB-656,review_coverage,benign,,,0,False,False
PB-657,review_coverage,benign,,,0,False,False
PB-658,review_coverage,benign,,,0,False,False
PB-659,review_coverage,benign,,,0,False,False
PB-660,review_coverage,benign,,,0,False,False
PB-661,benign_lookalike,benign,,,0,False,False
PB-662,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-663,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-664,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-665,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-666,review_coverage,benign,,,0,False,False
PB-667,review_coverage,benign,,,0,False,False
PB-668,review_coverage,benign,,,0,False,False
PB-669,review_coverage,benign,,,0,False,False
PB-670,review_coverage,benign,,,0,False,False
PB-671,review_coverage,benign,,,0,False,False
PB-672,review_coverage,benign,,,0,False,False
PB-673,benign_lookalike,benign,,,0,False,False
PB-674,trusted_allowed,benign,,,0,False,False
PB-675,trusted_allowed,benign,,,0,False,False
PB-676,trusted_allowed,benign,,,0,False,False
PB-677,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-678,review_coverage,benign,,,0,False,False
PB-679,review_coverage,benign,,,0,False,False
PB-680,review_coverage,benign,,,0,False,False
PB-681,review_coverage,benign,,,0,False,False
PB-682,review_coverage,benign,,,0,False,False
PB-683,review_coverage,benign,,,0,False,False
PB-684,benign_lookalike,benign,,,0,False,False
PB-685,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-686,review_coverage,benign,,,0,False,False
PB-687,review_coverage,benign,,,0,False,False
PB-688,trusted_allowed,benign,,,0,False,False
PB-689,review_coverage,benign,,,0,False,False
PB-690,review_coverage,benign,,,0,False,False
PB-691,review_coverage,benign,,,0,False,False
PB-692,review_coverage,benign,,,0,False,False
PB-693,review_coverage,benign,,,0,False,False
PB-694,review_coverage,benign,,,0,False,False
PB-695,review_coverage,benign,,,0,False,False
PB-696,benign_lookalike,benign,,,0,False,False
PB-697,trusted_allowed,benign,,,0,False,False
PB-698,review_coverage,benign,,,0,False,False
PB-699,review_coverage,benign,,,0,False,False
PB-700,trusted_allowed,benign,,,0,False,False
PB-701,benign_lookalike,benign,,,0,False,False
PB-702,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-703,review_coverage,benign,,,0,False,False
PB-704,review_coverage,benign,,,0,False,False
PB-705,trusted_allowed,benign,,,0,False,False
PB-706,benign_lookalike,benign,,,0,False,False
PB-707,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-708,review_coverage,benign,,,0,False,False
PB-709,review_coverage,benign,,,0,False,False
PB-710,trusted_allowed,benign,,,0,False,False
PB-711,benign_lookalike,benign,,,0,False,False
PB-712,review_coverage,benign,,,0,False,False
PB-713,review_coverage,benign,,,0,False,False
PB-714,review_coverage,benign,,,0,False,False
PB-715,review_coverage,benign,,,0,False,False
PB-716,benign_lookalike,benign,,,0,False,False
PB-717,review_coverage,benign,,,0,False,False
PB-718,review_coverage,benign,,,0,False,False
PB-719,review_coverage,benign,,,0,False,False
PB-720,review_coverage,benign,,,0,False,False
PB-721,benign_lookalike,benign,,,0,False,False
PB-722,review_coverage,benign,,,0,False,False
PB-723,review_coverage,benign,,,0,False,False
PB-724,benign_lookalike,benign,,,0,False,False
PB-725,review_coverage,benign,,,0,False,False
PB-726,review_coverage,benign,,,0,False,False
PB-727,benign_lookalike,benign,,,0,False,False
PB-728,review_coverage,benign,,,0,False,False
PB-729,review_coverage,benign,,,0,False,False
PB-730,benign_lookalike,benign,,,0,False,False
PB-731,review_coverage,benign,,,0,False,False
PB-732,review_coverage,benign,,,0,False,False
PB-733,benign_lookalike,benign,,,0,False,False
PB-734,review_coverage,benign,,,0,False,False
PB-735,review_coverage,benign,,,0,False,False
PB-736,benign_lookalike,benign,,,0,False,False
PB-737,benign_lookalike,benign,,,0,False,False
PB-738,benign_lookalike,benign,,,0,False,False
PB-739,benign_lookalike,benign,,,0,False,False
PB-740,trusted_allowed,benign,,,0,False,False
PB-741,trusted_allowed,benign,,,0,False,False
PB-742,trusted_allowed,benign,,,0,False,False
PB-743,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-744,trusted_allowed,benign,,,0,False,False
PB-745,trusted_allowed,benign,,,0,False,False
PB-746,trusted_allowed,benign,,,0,False,False
PB-747,trusted_allowed,benign,,,0,False,False
PB-748,trusted_allowed,benign,,,0,False,False
PB-749,trusted_allowed,benign,,,0,False,False
PB-750,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-751,trusted_allowed,benign,,,0,False,False
PB-752,trusted_allowed,benign,,,0,False,False
PB-753,trusted_allowed,benign,,,0,False,False
PB-754,trusted_allowed,benign,,,0,False,False
PB-755,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-756,trusted_allowed,benign,,,0,False,False
PB-757,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-758,trusted_allowed,benign,,,0,False,False
PB-759,trusted_allowed,benign,,,0,False,False
PB-760,trusted_allowed,malicious,structured_relation,http_body,1,False,True
PB-761,trusted_allowed,benign,,,0,False,False
PB-762,review_coverage,benign,,,0,False,False
PB-763,review_coverage,benign,,,0,False,False
PB-764,review_coverage,benign,,,0,False,False
PB-765,review_coverage,benign,,,0,False,False
PB-766,review_coverage,benign,,,0,False,False
PB-767,review_coverage,benign,,,0,False,False
PB-768,review_coverage,benign,,,0,False,False
PB-769,review_coverage,benign,,,0,False,False
PB-770,review_coverage,benign,,,0,False,False
PB-771,review_coverage,benign,,,0,False,False
PB-772,review_coverage,benign,,,0,False,False
PB-773,review_coverage,benign,,,0,False,False
PB-774,review_coverage,benign,,,0,False,False
PB-775,review_coverage,benign,,,0,False,False
PB-776,review_coverage,benign,,,0,False,False
